id,kanal,name,abos,bereich,einzel,aktiv,seit,funk,
funk,Funk Netzwerk,ARD,226000,f,n,j,13.09.2016,j,
strg,strg+f,NDR,1180000,f,n,j,23.11.2017,j,
yk,Y-Kollektiv,ARD,1110000,f,n,j,01.10.2016,j,
oue,Offen un' ehrlich,SR,476000,f,n,j,06.09.2016,j,
rp,Reporter,WDR,391000,f,n,j,10.04.2018,j,
lee,Leeroy wills wissen,Marcel Gerber,2410000,f,j,n,01.08.2018,e,
alpk,AlphaKevin,Oliver Guthe,228000,mb,j,j,14.12.2015,n,
jgnu,Jasmin Gnu,Jasmin Sibel,470000,i,j,j,02.06.2019,n,
ajoe,Alicia Joe,Alicia Joester,635000,mb,j,j,13.02.2011,n,
sash,Sashka,Alexandra Schulze,772000,mb,j,j,16.10.2015,n,
rezo,Rezo,Sebastian Meyer,1160000,mb,j,j,06.02.2021,n,
finl,Finnel,Finn Lorenz ,1380000,u,j,j,20.12.2016,n,
prnz,Prinz,Alexander Prinz,171.000,r,j,j,17.09.2014,n,selbe person
drfr,Doktor FroidReacts ,Florian Diedrich,472.000,r,n,j,02.08.2010,n,
mobl,MontanaBlack,Marcel Eris,2960000,l,j,j,05.08.2009,n,
dpbr,Der dunkle Parabelritter,Alexander Prinz,553000,mb,j,j,25.07.2012,n,selbe person
kutv,KuchenTV,Tim Heldt,1110000,mb,j,j,09.03.2011,n,
jsne,JustNero,Robin,439000,mb,j,j,09.11.2014,n,
klng,Klengan,Timon,545000,mb,j,j,26.08.2012,n,
TJ,Power TJ,Tim Jacken,235000,mb,j,j,05.09.2013,n,